Index,Genre,variable,value
0,Action,USA,0.079027077
1,Adventure,USA,0.062872877
2,Animation,USA,0.016704911
3,Biography,USA,0.016429555
4,Comedy,USA,0.140339605
5,Crime,USA,0.06167967
6,Documentary,USA,0.00826067
7,Drama,USA,0.169986232
8,Family,USA,0.040018357
9,Fantasy,USA,0.044699403
10,Film-Noir,USA,0.000550711
11,Game-Show,USA,9.18E-05
12,History,USA,0.010004589
13,Horror,USA,0.040201927
14,Music,USA,0.015878844
15,Musical,USA,0.010096374
16,Mystery,USA,0.034052318
17,News,USA,0.00018357
18,Reality-TV,USA,9.18E-05
19,Romance,USA,0.077007802
20,Sci-Fi,USA,0.044056907
21,Short,USA,0.000367141
22,Sport,USA,0.013859569
23,Thriller,USA,0.096374484
24,War,USA,0.010463515
25,Western,USA,0.006700321
26,Action,UK,0.068627451
27,Adventure,UK,0.073906486
28,Animation,UK,0.009049774
29,Biography,UK,0.042986425
30,Comedy,UK,0.09653092
31,Crime,UK,0.058069382
32,Documentary,UK,0.008295626
33,Drama,UK,0.19984917
34,Family,UK,0.028657617
35,Fantasy,UK,0.034690799
36,Film-Noir,UK,0
37,Game-Show,UK,0
38,History,UK,0.029411765
39,Horror,UK,0.030165913
40,Music,UK,0.016591252
41,Musical,UK,0.00678733
42,Mystery,UK,0.037707391
43,News,UK,0
44,Reality-TV,UK,0
45,Romance,UK,0.081447964
46,Sci-Fi,UK,0.034690799
47,Short,UK,0.000754148
48,Sport,UK,0.010558069
49,Thriller,UK,0.10331825
50,War,UK,0.024886878
51,Western,UK,0.003016591
52,Action,New Zealand,0.125
53,Adventure,New Zealand,0.145833333
54,Animation,New Zealand,0
55,Biography,New Zealand,0.0625
56,Comedy,New Zealand,0.020833333
57,Crime,New Zealand,0.041666667
58,Documentary,New Zealand,0.020833333
59,Drama,New Zealand,0.25
60,Family,New Zealand,0.020833333
61,Fantasy,New Zealand,0.0625
62,Film-Noir,New Zealand,0
63,Game-Show,New Zealand,0
64,History,New Zealand,0
65,Horror,New Zealand,0.020833333
66,Music,New Zealand,0.020833333
67,Musical,New Zealand,0
68,Mystery,New Zealand,0.020833333
69,News,New Zealand,0
70,Reality-TV,New Zealand,0
71,Romance,New Zealand,0.104166667
72,Sci-Fi,New Zealand,0
73,Short,New Zealand,0
74,Sport,New Zealand,0.020833333
75,Thriller,New Zealand,0.020833333
76,War,New Zealand,0
77,Western,New Zealand,0.041666667
78,Action,Canada,0.074927954
79,Adventure,Canada,0.037463977
80,Animation,Canada,0.008645533
81,Biography,Canada,0.017291066
82,Comedy,Canada,0.11815562
83,Crime,Canada,0.051873199
84,Documentary,Canada,0.005763689
85,Drama,Canada,0.187319885
86,Family,Canada,0.031700288
87,Fantasy,Canada,0.040345821
88,Film-Noir,Canada,0
89,Game-Show,Canada,0
90,History,Canada,0.011527378
91,Horror,Canada,0.083573487
92,Music,Canada,0.008645533
93,Musical,Canada,0.005763689
94,Mystery,Canada,0.051873199
95,News,Canada,0
96,Reality-TV,Canada,0
97,Romance,Canada,0.048991354
98,Sci-Fi,Canada,0.063400576
99,Short,Canada,0
100,Sport,Canada,0.020172911
101,Thriller,Canada,0.112391931
102,War,Canada,0.008645533
103,Western,Canada,0.011527378
104,Action,Australia,0.090909091
105,Adventure,Australia,0.090909091
106,Animation,Australia,0.011363636
107,Biography,Australia,0.028409091
108,Comedy,Australia,0.090909091
109,Crime,Australia,0.022727273
110,Documentary,Australia,0.005681818
111,Drama,Australia,0.159090909
112,Family,Australia,0.045454545
113,Fantasy,Australia,0.028409091
114,Film-Noir,Australia,0
115,Game-Show,Australia,0
116,History,Australia,0.011363636
117,Horror,Australia,0.056818182
118,Music,Australia,0.011363636
119,Musical,Australia,0.011363636
120,Mystery,Australia,0.039772727
121,News,Australia,0
122,Reality-TV,Australia,0
123,Romance,Australia,0.073863636
124,Sci-Fi,Australia,0.073863636
125,Short,Australia,0
126,Sport,Australia,0.005681818
127,Thriller,Australia,0.090909091
128,War,Australia,0.034090909
129,Western,Australia,0.017045455
130,Action,Belgium,0.125
131,Adventure,Belgium,0.1875
132,Animation,Belgium,0.0625
133,Biography,Belgium,0.0625
134,Comedy,Belgium,0.0625
135,Crime,Belgium,0
136,Documentary,Belgium,0
137,Drama,Belgium,0.0625
138,Family,Belgium,0.0625
139,Fantasy,Belgium,0.0625
140,Film-Noir,Belgium,0
141,Game-Show,Belgium,0
142,History,Belgium,0
143,Horror,Belgium,0
144,Music,Belgium,0
145,Musical,Belgium,0
146,Mystery,Belgium,0
147,News,Belgium,0
148,Reality-TV,Belgium,0
149,Romance,Belgium,0.125
150,Sci-Fi,Belgium,0.125
151,Short,Belgium,0
152,Sport,Belgium,0
153,Thriller,Belgium,0.0625
154,War,Belgium,0
155,Western,Belgium,0
156,Action,Japan,0.141176471
157,Adventure,Japan,0.164705882
158,Animation,Japan,0.117647059
159,Biography,Japan,0
160,Comedy,Japan,0.047058824
161,Crime,Japan,0.011764706
162,Documentary,Japan,0
163,Drama,Japan,0.094117647
164,Family,Japan,0.082352941
165,Fantasy,Japan,0.070588235
166,Film-Noir,Japan,0
167,Game-Show,Japan,0
168,History,Japan,0.011764706
169,Horror,Japan,0.047058824
170,Music,Japan,0
171,Musical,Japan,0
172,Mystery,Japan,0.023529412
173,News,Japan,0
174,Reality-TV,Japan,0
175,Romance,Japan,0.011764706
176,Sci-Fi,Japan,0.094117647
177,Short,Japan,0
178,Sport,Japan,0
179,Thriller,Japan,0.058823529
180,War,Japan,0.011764706
181,Western,Japan,0.011764706
182,Action,Germany,0.086956522
183,Adventure,Germany,0.053511706
184,Animation,Germany,0.013377926
185,Biography,Germany,0.030100334
186,Comedy,Germany,0.107023411
187,Crime,Germany,0.096989967
188,Documentary,Germany,0.006688963
189,Drama,Germany,0.180602007
190,Family,Germany,0.040133779
191,Fantasy,Germany,0.036789298
192,Film-Noir,Germany,0
193,Game-Show,Germany,0
194,History,Germany,0.010033445
195,Horror,Germany,0.033444816
196,Music,Germany,0.006688963
197,Musical,Germany,0
198,Mystery,Germany,0.036789298
199,News,Germany,0
200,Reality-TV,Germany,0
201,Romance,Germany,0.080267559
202,Sci-Fi,Germany,0.036789298
203,Short,Germany,0
204,Sport,Germany,0.013377926
205,Thriller,Germany,0.110367893
206,War,Germany,0.02006689
207,Western,Germany,0
208,Action,China,0.206896552
209,Adventure,China,0.137931034
210,Animation,China,0.022988506
211,Biography,China,0.011494253
212,Comedy,China,0.068965517
213,Crime,China,0.022988506
214,Documentary,China,0
215,Drama,China,0.206896552
216,Family,China,0.022988506
217,Fantasy,China,0.034482759
218,Film-Noir,China,0
219,Game-Show,China,0
220,History,China,0.126436782
221,Horror,China,0
222,Music,China,0
223,Musical,China,0
224,Mystery,China,0
225,News,China,0
226,Reality-TV,China,0
227,Romance,China,0.057471264
228,Sci-Fi,China,0
229,Short,China,0
230,Sport,China,0
231,Thriller,China,0.022988506
232,War,China,0.057471264
233,Western,China,0
234,Action,France,0.068584071
235,Adventure,France,0.044247788
236,Animation,France,0.026548673
237,Biography,France,0.028761062
238,Comedy,France,0.090707965
239,Crime,France,0.086283186
240,Documentary,France,0.008849558
241,Drama,France,0.216814159
242,Family,France,0.026548673
243,Fantasy,France,0.030973451
244,Film-Noir,France,0
245,Game-Show,France,0
246,History,France,0.019911504
247,Horror,France,0.028761062
248,Music,France,0.015486726
249,Musical,France,0.006637168
250,Mystery,France,0.033185841
251,News,France,0
252,Reality-TV,France,0
253,Romance,France,0.07300885
254,Sci-Fi,France,0.028761062
255,Short,France,0
256,Sport,France,0.002212389
257,Thriller,France,0.123893805
258,War,France,0.033185841
259,Western,France,0.006637168
260,Action,New Line,0
261,Adventure,New Line,0
262,Animation,New Line,0
263,Biography,New Line,0
264,Comedy,New Line,0.5
265,Crime,New Line,0
266,Documentary,New Line,0
267,Drama,New Line,0
268,Family,New Line,0
269,Fantasy,New Line,0
270,Film-Noir,New Line,0
271,Game-Show,New Line,0
272,History,New Line,0
273,Horror,New Line,0
274,Music,New Line,0
275,Musical,New Line,0
276,Mystery,New Line,0
277,News,New Line,0
278,Reality-TV,New Line,0
279,Romance,New Line,0.5
280,Sci-Fi,New Line,0
281,Short,New Line,0
282,Sport,New Line,0
283,Thriller,New Line,0
284,War,New Line,0
285,Western,New Line,0
286,Action,Mexico,0.026315789
287,Adventure,Mexico,0.078947368
288,Animation,Mexico,0.026315789
289,Biography,Mexico,0
290,Comedy,Mexico,0.157894737
291,Crime,Mexico,0.026315789
292,Documentary,Mexico,0
293,Drama,Mexico,0.368421053
294,Family,Mexico,0.026315789
295,Fantasy,Mexico,0
296,Film-Noir,Mexico,0
297,Game-Show,Mexico,0
298,History,Mexico,0.078947368
299,Horror,Mexico,0
300,Music,Mexico,0
301,Musical,Mexico,0
302,Mystery,Mexico,0
303,News,Mexico,0
304,Reality-TV,Mexico,0
305,Romance,Mexico,0.078947368
306,Sci-Fi,Mexico,0
307,Short,Mexico,0
308,Sport,Mexico,0
309,Thriller,Mexico,0.026315789
310,War,Mexico,0.078947368
311,Western,Mexico,0.026315789
312,Action,Spain,0.021052632
313,Adventure,Spain,0.052631579
314,Animation,Spain,0.021052632
315,Biography,Spain,0.021052632
316,Comedy,Spain,0.042105263
317,Crime,Spain,0.042105263
318,Documentary,Spain,0
319,Drama,Spain,0.252631579
320,Family,Spain,0.021052632
321,Fantasy,Spain,0.021052632
322,Film-Noir,Spain,0
323,Game-Show,Spain,0
324,History,Spain,0.031578947
325,Horror,Spain,0.052631579
326,Music,Spain,0
327,Musical,Spain,0.010526316
328,Mystery,Spain,0.094736842
329,News,Spain,0
330,Reality-TV,Spain,0
331,Romance,Spain,0.084210526
332,Sci-Fi,Spain,0.021052632
333,Short,Spain,0
334,Sport,Spain,0.010526316
335,Thriller,Spain,0.136842105
336,War,Spain,0.042105263
337,Western,Spain,0.021052632
338,Action,Hong Kong,0.24137931
339,Adventure,Hong Kong,0.017241379
340,Animation,Hong Kong,0.034482759
341,Biography,Hong Kong,0.034482759
342,Comedy,Hong Kong,0.155172414
343,Crime,Hong Kong,0.086206897
344,Documentary,Hong Kong,0
345,Drama,Hong Kong,0.103448276
346,Family,Hong Kong,0.051724138
347,Fantasy,Hong Kong,0.051724138
348,Film-Noir,Hong Kong,0
349,Game-Show,Hong Kong,0
350,History,Hong Kong,0.034482759
351,Horror,Hong Kong,0
352,Music,Hong Kong,0
353,Musical,Hong Kong,0
354,Mystery,Hong Kong,0
355,News,Hong Kong,0
356,Reality-TV,Hong Kong,0
357,Romance,Hong Kong,0.051724138
358,Sci-Fi,Hong Kong,0.068965517
359,Short,Hong Kong,0
360,Sport,Hong Kong,0.017241379
361,Thriller,Hong Kong,0.034482759
362,War,Hong Kong,0.017241379
363,Western,Hong Kong,0
364,Action,Czech Republic,0
365,Adventure,Czech Republic,0
366,Animation,Czech Republic,0
367,Biography,Czech Republic,0
368,Comedy,Czech Republic,0.1
369,Crime,Czech Republic,0.1
370,Documentary,Czech Republic,0
371,Drama,Czech Republic,0.2
372,Family,Czech Republic,0
373,Fantasy,Czech Republic,0.1
374,Film-Noir,Czech Republic,0
375,Game-Show,Czech Republic,0
376,History,Czech Republic,0
377,Horror,Czech Republic,0.1
378,Music,Czech Republic,0
379,Musical,Czech Republic,0
380,Mystery,Czech Republic,0
381,News,Czech Republic,0
382,Reality-TV,Czech Republic,0
383,Romance,Czech Republic,0.1
384,Sci-Fi,Czech Republic,0
385,Short,Czech Republic,0
386,Sport,Czech Republic,0
387,Thriller,Czech Republic,0.2
388,War,Czech Republic,0.1
389,Western,Czech Republic,0
390,Action,India,0.075268817
391,Adventure,India,0.032258065
392,Animation,India,0.010752688
393,Biography,India,0.032258065
394,Comedy,India,0.150537634
395,Crime,India,0.010752688
396,Documentary,India,0.021505376
397,Drama,India,0.247311828
398,Family,India,0.010752688
399,Fantasy,India,0.010752688
400,Film-Noir,India,0
401,Game-Show,India,0
402,History,India,0.043010753
403,Horror,India,0
404,Music,India,0
405,Musical,India,0.043010753
406,Mystery,India,0
407,News,India,0
408,Reality-TV,India,0
409,Romance,India,0.193548387
410,Sci-Fi,India,0.010752688
411,Short,India,0
412,Sport,India,0
413,Thriller,India,0.075268817
414,War,India,0.032258065
415,Western,India,0
416,Action,Soviet Union,0
417,Adventure,Soviet Union,0
418,Animation,Soviet Union,0
419,Biography,Soviet Union,0
420,Comedy,Soviet Union,0
421,Crime,Soviet Union,0
422,Documentary,Soviet Union,0
423,Drama,Soviet Union,0.333333333
424,Family,Soviet Union,0
425,Fantasy,Soviet Union,0
426,Film-Noir,Soviet Union,0
427,Game-Show,Soviet Union,0
428,History,Soviet Union,0
429,Horror,Soviet Union,0
430,Music,Soviet Union,0
431,Musical,Soviet Union,0
432,Mystery,Soviet Union,0.333333333
433,News,Soviet Union,0
434,Reality-TV,Soviet Union,0
435,Romance,Soviet Union,0
436,Sci-Fi,Soviet Union,0.333333333
437,Short,Soviet Union,0
438,Sport,Soviet Union,0
439,Thriller,Soviet Union,0
440,War,Soviet Union,0
441,Western,Soviet Union,0
442,Action,South Korea,0.155555556
443,Adventure,South Korea,0.044444444
444,Animation,South Korea,0.022222222
445,Biography,South Korea,0
446,Comedy,South Korea,0.088888889
447,Crime,South Korea,0.022222222
448,Documentary,South Korea,0
449,Drama,South Korea,0.222222222
450,Family,South Korea,0
451,Fantasy,South Korea,0.044444444
452,Film-Noir,South Korea,0
453,Game-Show,South Korea,0
454,History,South Korea,0.044444444
455,Horror,South Korea,0.066666667
456,Music,South Korea,0
457,Musical,South Korea,0
458,Mystery,South Korea,0.044444444
459,News,South Korea,0
460,Reality-TV,South Korea,0
461,Romance,South Korea,0
462,Sci-Fi,South Korea,0.044444444
463,Short,South Korea,0
464,Sport,South Korea,0
465,Thriller,South Korea,0.111111111
466,War,South Korea,0.066666667
467,Western,South Korea,0.022222222
468,Action,Peru,0.2
469,Adventure,Peru,0
470,Animation,Peru,0
471,Biography,Peru,0
472,Comedy,Peru,0
473,Crime,Peru,0.2
474,Documentary,Peru,0
475,Drama,Peru,0.2
476,Family,Peru,0
477,Fantasy,Peru,0
478,Film-Noir,Peru,0
479,Game-Show,Peru,0
480,History,Peru,0
481,Horror,Peru,0
482,Music,Peru,0
483,Musical,Peru,0
484,Mystery,Peru,0
485,News,Peru,0
486,Reality-TV,Peru,0
487,Romance,Peru,0.2
488,Sci-Fi,Peru,0
489,Short,Peru,0
490,Sport,Peru,0
491,Thriller,Peru,0.2
492,War,Peru,0
493,Western,Peru,0
494,Action,Italy,0.037037037
495,Adventure,Italy,0.037037037
496,Animation,Italy,0
497,Biography,Italy,0.018518519
498,Comedy,Italy,0.111111111
499,Crime,Italy,0.12962963
500,Documentary,Italy,0
501,Drama,Italy,0.277777778
502,Family,Italy,0
503,Fantasy,Italy,0
504,Film-Noir,Italy,0
505,Game-Show,Italy,0
506,History,Italy,0.037037037
507,Horror,Italy,0.055555556
508,Music,Italy,0
509,Musical,Italy,0
510,Mystery,Italy,0.037037037
511,News,Italy,0
512,Reality-TV,Italy,0
513,Romance,Italy,0.111111111
514,Sci-Fi,Italy,0
515,Short,Italy,0
516,Sport,Italy,0
517,Thriller,Italy,0.055555556
518,War,Italy,0.037037037
519,Western,Italy,0.055555556
520,Action,Russia,0.057142857
521,Adventure,Russia,0.2
522,Animation,Russia,0.085714286
523,Biography,Russia,0.028571429
524,Comedy,Russia,0.057142857
525,Crime,Russia,0.028571429
526,Documentary,Russia,0
527,Drama,Russia,0.114285714
528,Family,Russia,0.057142857
529,Fantasy,Russia,0.085714286
530,Film-Noir,Russia,0
531,Game-Show,Russia,0
532,History,Russia,0.028571429
533,Horror,Russia,0
534,Music,Russia,0
535,Musical,Russia,0
536,Mystery,Russia,0.057142857
537,News,Russia,0
538,Reality-TV,Russia,0
539,Romance,Russia,0
540,Sci-Fi,Russia,0.057142857
541,Short,Russia,0
542,Sport,Russia,0
543,Thriller,Russia,0.114285714
544,War,Russia,0.028571429
545,Western,Russia,0
546,Action,Aruba,0.333333333
547,Adventure,Aruba,0
548,Animation,Aruba,0
549,Biography,Aruba,0
550,Comedy,Aruba,0.333333333
551,Crime,Aruba,0
552,Documentary,Aruba,0
553,Drama,Aruba,0
554,Family,Aruba,0
555,Fantasy,Aruba,0
556,Film-Noir,Aruba,0
557,Game-Show,Aruba,0
558,History,Aruba,0
559,Horror,Aruba,0
560,Music,Aruba,0
561,Musical,Aruba,0
562,Mystery,Aruba,0
563,News,Aruba,0
564,Reality-TV,Aruba,0
565,Romance,Aruba,0
566,Sci-Fi,Aruba,0
567,Short,Aruba,0
568,Sport,Aruba,0
569,Thriller,Aruba,0.333333333
570,War,Aruba,0
571,Western,Aruba,0
572,Action,Denmark,0.076923077
573,Adventure,Denmark,0.038461538
574,Animation,Denmark,0.038461538
575,Biography,Denmark,0
576,Comedy,Denmark,0.038461538
577,Crime,Denmark,0.076923077
578,Documentary,Denmark,0.038461538
579,Drama,Denmark,0.346153846
580,Family,Denmark,0
581,Fantasy,Denmark,0.038461538
582,Film-Noir,Denmark,0
583,Game-Show,Denmark,0
584,History,Denmark,0.038461538
585,Horror,Denmark,0
586,Music,Denmark,0
587,Musical,Denmark,0.038461538
588,Mystery,Denmark,0
589,News,Denmark,0
590,Reality-TV,Denmark,0
591,Romance,Denmark,0
592,Sci-Fi,Denmark,0.115384615
593,Short,Denmark,0
594,Sport,Denmark,0
595,Thriller,Denmark,0.076923077
596,War,Denmark,0.038461538
597,Western,Denmark,0
598,Action,Libya,0
599,Adventure,Libya,0
600,Animation,Libya,0
601,Biography,Libya,0.25
602,Comedy,Libya,0
603,Crime,Libya,0
604,Documentary,Libya,0
605,Drama,Libya,0.25
606,Family,Libya,0
607,Fantasy,Libya,0
608,Film-Noir,Libya,0
609,Game-Show,Libya,0
610,History,Libya,0.25
611,Horror,Libya,0
612,Music,Libya,0
613,Musical,Libya,0
614,Mystery,Libya,0
615,News,Libya,0
616,Reality-TV,Libya,0
617,Romance,Libya,0
618,Sci-Fi,Libya,0
619,Short,Libya,0
620,Sport,Libya,0
621,Thriller,Libya,0
622,War,Libya,0.25
623,Western,Libya,0
624,Action,Ireland,0.0625
625,Adventure,Ireland,0
626,Animation,Ireland,0
627,Biography,Ireland,0.03125
628,Comedy,Ireland,0.125
629,Crime,Ireland,0.09375
630,Documentary,Ireland,0
631,Drama,Ireland,0.21875
632,Family,Ireland,0
633,Fantasy,Ireland,0
634,Film-Noir,Ireland,0
635,Game-Show,Ireland,0
636,History,Ireland,0
637,Horror,Ireland,0.09375
638,Music,Ireland,0.03125
639,Musical,Ireland,0
640,Mystery,Ireland,0.03125
641,News,Ireland,0
642,Reality-TV,Ireland,0
643,Romance,Ireland,0.15625
644,Sci-Fi,Ireland,0
645,Short,Ireland,0
646,Sport,Ireland,0
647,Thriller,Ireland,0.125
648,War,Ireland,0.03125
649,Western,Ireland,0
650,Action,South Africa,0.083333333
651,Adventure,South Africa,0.125
652,Animation,South Africa,0.083333333
653,Biography,South Africa,0.083333333
654,Comedy,South Africa,0.041666667
655,Crime,South Africa,0.041666667
656,Documentary,South Africa,0
657,Drama,South Africa,0.208333333
658,Family,South Africa,0.083333333
659,Fantasy,South Africa,0
660,Film-Noir,South Africa,0
661,Game-Show,South Africa,0
662,History,South Africa,0.041666667
663,Horror,South Africa,0
664,Music,South Africa,0
665,Musical,South Africa,0
666,Mystery,South Africa,0
667,News,South Africa,0
668,Reality-TV,South Africa,0
669,Romance,South Africa,0.083333333
670,Sci-Fi,South Africa,0.083333333
671,Short,South Africa,0
672,Sport,South Africa,0
673,Thriller,South Africa,0.041666667
674,War,South Africa,0
675,Western,South Africa,0
676,Action,Iceland,0
677,Adventure,Iceland,0
678,Animation,Iceland,0
679,Biography,Iceland,0
680,Comedy,Iceland,0.142857143
681,Crime,Iceland,0.142857143
682,Documentary,Iceland,0
683,Drama,Iceland,0.428571429
684,Family,Iceland,0
685,Fantasy,Iceland,0
686,Film-Noir,Iceland,0
687,Game-Show,Iceland,0
688,History,Iceland,0
689,Horror,Iceland,0
690,Music,Iceland,0
691,Musical,Iceland,0
692,Mystery,Iceland,0
693,News,Iceland,0
694,Reality-TV,Iceland,0
695,Romance,Iceland,0.142857143
696,Sci-Fi,Iceland,0
697,Short,Iceland,0
698,Sport,Iceland,0
699,Thriller,Iceland,0.142857143
700,War,Iceland,0
701,Western,Iceland,0
702,Action,Switzerland,0
703,Adventure,Switzerland,0
704,Animation,Switzerland,0
705,Biography,Switzerland,0.111111111
706,Comedy,Switzerland,0.111111111
707,Crime,Switzerland,0
708,Documentary,Switzerland,0
709,Drama,Switzerland,0.111111111
710,Family,Switzerland,0
711,Fantasy,Switzerland,0
712,Film-Noir,Switzerland,0
713,Game-Show,Switzerland,0
714,History,Switzerland,0
715,Horror,Switzerland,0
716,Music,Switzerland,0.111111111
717,Musical,Switzerland,0
718,Mystery,Switzerland,0.111111111
719,News,Switzerland,0
720,Reality-TV,Switzerland,0
721,Romance,Switzerland,0.222222222
722,Sci-Fi,Switzerland,0.111111111
723,Short,Switzerland,0
724,Sport,Switzerland,0
725,Thriller,Switzerland,0.111111111
726,War,Switzerland,0
727,Western,Switzerland,0
728,Action,Romania,0
729,Adventure,Romania,0
730,Animation,Romania,0
731,Biography,Romania,0
732,Comedy,Romania,0.25
733,Crime,Romania,0
734,Documentary,Romania,0
735,Drama,Romania,0.375
736,Family,Romania,0
737,Fantasy,Romania,0.125
738,Film-Noir,Romania,0
739,Game-Show,Romania,0
740,History,Romania,0
741,Horror,Romania,0.125
742,Music,Romania,0
743,Musical,Romania,0
744,Mystery,Romania,0
745,News,Romania,0
746,Reality-TV,Romania,0
747,Romance,Romania,0
748,Sci-Fi,Romania,0
749,Short,Romania,0
750,Sport,Romania,0
751,Thriller,Romania,0.125
752,War,Romania,0
753,Western,Romania,0
754,Action,West Germany,0
755,Adventure,West Germany,0.2
756,Animation,West Germany,0
757,Biography,West Germany,0
758,Comedy,West Germany,0
759,Crime,West Germany,0
760,Documentary,West Germany,0
761,Drama,West Germany,0.2
762,Family,West Germany,0.1
763,Fantasy,West Germany,0.1
764,Film-Noir,West Germany,0
765,Game-Show,West Germany,0
766,History,West Germany,0
767,Horror,West Germany,0.1
768,Music,West Germany,0
769,Musical,West Germany,0
770,Mystery,West Germany,0.1
771,News,West Germany,0
772,Reality-TV,West Germany,0
773,Romance,West Germany,0
774,Sci-Fi,West Germany,0
775,Short,West Germany,0
776,Sport,West Germany,0
777,Thriller,West Germany,0.1
778,War,West Germany,0.1
779,Western,West Germany,0
780,Action,Chile,0
781,Adventure,Chile,0
782,Animation,Chile,0
783,Biography,Chile,0.333333333
784,Comedy,Chile,0
785,Crime,Chile,0
786,Documentary,Chile,0
787,Drama,Chile,0.333333333
788,Family,Chile,0
789,Fantasy,Chile,0
790,Film-Noir,Chile,0
791,Game-Show,Chile,0
792,History,Chile,0.333333333
793,Horror,Chile,0
794,Music,Chile,0
795,Musical,Chile,0
796,Mystery,Chile,0
797,News,Chile,0
798,Reality-TV,Chile,0
799,Romance,Chile,0
800,Sci-Fi,Chile,0
801,Short,Chile,0
802,Sport,Chile,0
803,Thriller,Chile,0
804,War,Chile,0
805,Western,Chile,0
806,Action,Netherlands,0.071428571
807,Adventure,Netherlands,0.071428571
808,Animation,Netherlands,0
809,Biography,Netherlands,0
810,Comedy,Netherlands,0.071428571
811,Crime,Netherlands,0.071428571
812,Documentary,Netherlands,0
813,Drama,Netherlands,0.285714286
814,Family,Netherlands,0
815,Fantasy,Netherlands,0.071428571
816,Film-Noir,Netherlands,0
817,Game-Show,Netherlands,0
818,History,Netherlands,0.071428571
